record_id,dataset_role,property_symbol,property_name,component,value,unit,temperature_C,temperature_context,source_key,doi_or_reference,PLA_formulation,print_condition,confidence_relevance,compatibility_status,how_used_in_ANSYS,source_locator,notes
PLA-001,candidate,ρ,mass density,isotropic,1240,kg m⁻³,not reported,supplier typical value,PrusamentTDS2022,Prusament PLA TDS v1.1 (27 July 2022),Prusament PLA,not specified for density test,"moderate; exact formulation, temperature omitted",candidate_missing_temperature,Do not enter until the reference temperature treatment is declared,TDS p. 2,
PLA-002,candidate,E,tensile modulus,horizontal,2300,MPa,not reported,printed tensile test,PrusamentTDS2022,Prusament PLA TDS v1.1 (27 July 2022),Prusament PLA,Original Prusa i3 MK3; 100% rectilinear infill; 0.20 mm layers; 2 perimeters; 215 °C nozzle; 60 °C bed; 200 mm s⁻¹ infill,moderate; mean ±0.1 GPa reported,screening_only,Room-condition cross-check only; not the viscoelastic relaxation modulus,TDS pp. 2–3,Reported as 2.3 ± 0.1 GPa
PLA-003,candidate,E,tensile modulus,vertical xz,2400,MPa,not reported,printed tensile test,PrusamentTDS2022,Prusament PLA TDS v1.1 (27 July 2022),Prusament PLA,Original Prusa i3 MK3; 100% rectilinear infill; 0.20 mm layers; 2 perimeters; 215 °C nozzle; 60 °C bed; 200 mm s⁻¹ infill,moderate; mean ±0.1 GPa reported,screening_only,Room-condition cross-check only; not the viscoelastic relaxation modulus,TDS pp. 2–3,Reported as 2.4 ± 0.1 GPa
PLA-004,candidate,ν,Poisson ratio,isotropic,0.35,1,23–85,constant in source model,Chapuis2025,10.1088/1361-665X/adeee4,Prusament PLA,ASTM D638 Type IV; Prusament PLA; DMA frequency sweeps 1–18 Hz at 5 °C intervals; at least 3 specimens,high for the published model; uncertainty not reported,admissible_within_source_domain,Candidate constant ν in isotropic viscoelastic structural model,Supplementary Table B.1,
PLA-005,candidate,α,coefficient of linear thermal expansion,isotropic,68.0,µm m⁻¹ K⁻¹,23–85,constant in source model,Chapuis2025,10.1088/1361-665X/adeee4,Prusament PLA,ASTM D638 Type IV; Prusament PLA; DMA frequency sweeps 1–18 Hz at 5 °C intervals; at least 3 specimens,high for the published model; uncertainty not reported,admissible_within_source_domain,Candidate constant isotropic thermal expansion for verification cases; irreversible pre-strain remains separate,Supplementary Table B.1,
PLA-006,candidate,T_g,glass-transition temperature,tan δ peak,65,°C,65,DMA tan δ peak,Chapuis2025,10.1088/1361-665X/adeee4,Prusament PLA,ASTM D638 Type IV; Prusament PLA; DMA frequency sweeps 1–18 Hz at 5 °C intervals; at least 3 specimens,high; directly determined in source study,admissible_within_source_domain,"Reference temperature for shift-factor law, not a structural boundary condition",Main text §3.1.1 and Supplementary Table B.1,
PLA-007,candidate,E_∞,long-term Young modulus,equilibrium Hookean element k₀,10.598,MPa,65,reference T_g; master-curve model,Chapuis2025,10.1088/1361-665X/adeee4,Prusament PLA,ASTM D638 Type IV; Prusament PLA; DMA frequency sweeps 1–18 Hz at 5 °C intervals; at least 3 specimens,high; directly tabulated,admissible_within_source_domain,Long-term modulus term after ANSYS-compatible formulation is verified,Supplementary Table B.1,
PLA-008,candidate,E_0,instantaneous Young modulus,k₀ + Σkᵢ,1691.594,MPa,65,calculated at reference T_g from 23 tabulated branches,Chapuis2025,10.1088/1361-665X/adeee4,Prusament PLA,ASTM D638 Type IV; Prusament PLA; DMA frequency sweeps 1–18 Hz at 5 °C intervals; at least 3 specimens,high arithmetic traceability; model-transfer uncertainty remains,calculated_candidate,Candidate instantaneous modulus for normalized Prony conversion,Supplementary Tables B.1–B.2,Reproducible sum: 10.598 MPa + Σkᵢ = 1691.594 MPa
PLA-009,candidate,C₁,WLF constant,above T_g,17.4,1,≥65,T₀ = T_g,Chapuis2025,10.1088/1361-665X/adeee4,Prusament PLA,ASTM D638 Type IV; Prusament PLA; DMA frequency sweeps 1–18 Hz at 5 °C intervals; at least 3 specimens,high for source model,admissible_within_source_domain,Candidate ANSYS shift law after convention/sign verification,Supplementary Table B.1 and main-text Eq. (6),
PLA-010,candidate,C₂,WLF constant,above T_g,51.6,K,≥65,T₀ = T_g,Chapuis2025,10.1088/1361-665X/adeee4,Prusament PLA,ASTM D638 Type IV; Prusament PLA; DMA frequency sweeps 1–18 Hz at 5 °C intervals; at least 3 specimens,high for source model,admissible_within_source_domain,Candidate ANSYS shift law after convention/sign verification,Supplementary Table B.1 and main-text Eq. (6),
