record_id,fixture_material,property_symbol,property_name,value,unit,temperature_C,source_key,doi_or_reference,confidence_relevance,how_used_in_ANSYS,source_locator,notes
FIX-001,AISI 304 stainless steel (candidate plate fixture),ρ,mass density,7910,kg m⁻³,20,Meng2026,10.1038/s41598-026-45542-w,"moderate; peer-reviewed compiled input table, product heat not yet specified; alpha convention unresolved",Tabulated isotropic thermal/structural fixture property; linear interpolation across temperature,Table 1,"20, 100 and 200 °C rows bracket the planned 20–110 °C domain; no extrapolation required; alpha tangent/mean convention must be resolved before thermal-strain integration"
FIX-002,AISI 304 stainless steel (candidate plate fixture),c_p,specific heat capacity,456,J kg⁻¹ K⁻¹,20,Meng2026,10.1038/s41598-026-45542-w,"moderate; peer-reviewed compiled input table, product heat not yet specified; alpha convention unresolved",Tabulated isotropic thermal/structural fixture property; linear interpolation across temperature,Table 1,"20, 100 and 200 °C rows bracket the planned 20–110 °C domain; no extrapolation required; alpha tangent/mean convention must be resolved before thermal-strain integration"
FIX-003,AISI 304 stainless steel (candidate plate fixture),k,thermal conductivity,16.2,W m⁻¹ K⁻¹,20,Meng2026,10.1038/s41598-026-45542-w,"moderate; peer-reviewed compiled input table, product heat not yet specified; alpha convention unresolved",Tabulated isotropic thermal/structural fixture property; linear interpolation across temperature,Table 1,"20, 100 and 200 °C rows bracket the planned 20–110 °C domain; no extrapolation required; alpha tangent/mean convention must be resolved before thermal-strain integration"
FIX-004,AISI 304 stainless steel (candidate plate fixture),α,coefficient of linear thermal expansion,15.5,µm m⁻¹ K⁻¹,20,Meng2026,10.1038/s41598-026-45542-w,"moderate; peer-reviewed compiled input table, product heat not yet specified; alpha convention unresolved",Tabulated isotropic thermal/structural fixture property; linear interpolation across temperature,Table 1,"20, 100 and 200 °C rows bracket the planned 20–110 °C domain; no extrapolation required; alpha tangent/mean convention must be resolved before thermal-strain integration"
FIX-005,AISI 304 stainless steel (candidate plate fixture),E,Young modulus,200,GPa,20,Meng2026,10.1038/s41598-026-45542-w,"moderate; peer-reviewed compiled input table, product heat not yet specified; alpha convention unresolved",Tabulated isotropic thermal/structural fixture property; linear interpolation across temperature,Table 1,"20, 100 and 200 °C rows bracket the planned 20–110 °C domain; no extrapolation required; alpha tangent/mean convention must be resolved before thermal-strain integration"
FIX-006,AISI 304 stainless steel (candidate plate fixture),ν,Poisson ratio,0.29,1,20,Meng2026,10.1038/s41598-026-45542-w,"moderate; peer-reviewed compiled input table, product heat not yet specified; alpha convention unresolved",Tabulated isotropic thermal/structural fixture property; linear interpolation across temperature,Table 1,"20, 100 and 200 °C rows bracket the planned 20–110 °C domain; no extrapolation required; alpha tangent/mean convention must be resolved before thermal-strain integration"
FIX-007,AISI 304 stainless steel (candidate plate fixture),ρ,mass density,7876,kg m⁻³,100,Meng2026,10.1038/s41598-026-45542-w,"moderate; peer-reviewed compiled input table, product heat not yet specified; alpha convention unresolved",Tabulated isotropic thermal/structural fixture property; linear interpolation across temperature,Table 1,"20, 100 and 200 °C rows bracket the planned 20–110 °C domain; no extrapolation required; alpha tangent/mean convention must be resolved before thermal-strain integration"
FIX-008,AISI 304 stainless steel (candidate plate fixture),c_p,specific heat capacity,494,J kg⁻¹ K⁻¹,100,Meng2026,10.1038/s41598-026-45542-w,"moderate; peer-reviewed compiled input table, product heat not yet specified; alpha convention unresolved",Tabulated isotropic thermal/structural fixture property; linear interpolation across temperature,Table 1,"20, 100 and 200 °C rows bracket the planned 20–110 °C domain; no extrapolation required; alpha tangent/mean convention must be resolved before thermal-strain integration"
FIX-009,AISI 304 stainless steel (candidate plate fixture),k,thermal conductivity,16.6,W m⁻¹ K⁻¹,100,Meng2026,10.1038/s41598-026-45542-w,"moderate; peer-reviewed compiled input table, product heat not yet specified; alpha convention unresolved",Tabulated isotropic thermal/structural fixture property; linear interpolation across temperature,Table 1,"20, 100 and 200 °C rows bracket the planned 20–110 °C domain; no extrapolation required; alpha tangent/mean convention must be resolved before thermal-strain integration"
FIX-010,AISI 304 stainless steel (candidate plate fixture),α,coefficient of linear thermal expansion,16.3,µm m⁻¹ K⁻¹,100,Meng2026,10.1038/s41598-026-45542-w,"moderate; peer-reviewed compiled input table, product heat not yet specified; alpha convention unresolved",Tabulated isotropic thermal/structural fixture property; linear interpolation across temperature,Table 1,"20, 100 and 200 °C rows bracket the planned 20–110 °C domain; no extrapolation required; alpha tangent/mean convention must be resolved before thermal-strain integration"
FIX-011,AISI 304 stainless steel (candidate plate fixture),E,Young modulus,191.4,GPa,100,Meng2026,10.1038/s41598-026-45542-w,"moderate; peer-reviewed compiled input table, product heat not yet specified; alpha convention unresolved",Tabulated isotropic thermal/structural fixture property; linear interpolation across temperature,Table 1,"20, 100 and 200 °C rows bracket the planned 20–110 °C domain; no extrapolation required; alpha tangent/mean convention must be resolved before thermal-strain integration"
