range_id,parameter,component_or_condition,lower,upper,unit,temperature_C,formulation,basis,source_key,range_type,probability_model,ANSYS_use,status
U-001,E,Prusament printed horizontal,2200,2400,MPa,not reported,Prusament PLA,Supplier mean 2.3 ± 0.1 GPa,PrusamentTDS2022,reported mean interval,none,cross-check only,not admitted as temperature-dependent viscoelastic law
U-002,E,Prusament printed vertical xz,2300,2500,MPa,not reported,Prusament PLA,Supplier mean 2.4 ± 0.1 GPa,PrusamentTDS2022,reported mean interval,none,cross-check only,not admitted as temperature-dependent viscoelastic law
U-003,ε₁₁^AM,nozzle 195 °C; activation 75 °C,0.05605,0.05618,1,75,Prusament PLA,Bracket between pattern-search and Timoshenko identifications in the same source,Chapuis2025,method bracket,none,not admitted as bulk annealing-strain uncertainty,source-supported bracket; geometry-transfer unresolved
U-004,ε₁₁^AM,nozzle 200 °C; activation 75 °C,0.04199,0.04206,1,75,Prusament PLA,Bracket between pattern-search and Timoshenko identifications in the same source,Chapuis2025,method bracket,none,not admitted as bulk annealing-strain uncertainty,source-supported bracket; geometry-transfer unresolved
U-005,ε₁₁^AM,nozzle 200 °C; activation 90 °C,0.10290,0.10350,1,90,Prusament PLA,Bracket between pattern-search and Timoshenko identifications in the same source,Chapuis2025,method bracket,none,not admitted as bulk annealing-strain uncertainty,source-supported bracket; geometry-transfer unresolved
U-006,ε₁₁^AM,nozzle 215 °C; activation 90 °C,0.07926,0.07957,1,90,Prusament PLA,Bracket between pattern-search and Timoshenko identifications in the same source,Chapuis2025,method bracket,none,not admitted as bulk annealing-strain uncertainty,source-supported bracket; geometry-transfer unresolved
U-007,ρ(T),isotropic,,,kg m⁻³,20–110 target domain,Prusament PLA,No compatible published lower and upper bounds located in the Stage 4 evidence set,Chapuis2025; PrusamentTDS2022,unresolved evidence gap,none,blocked,no bound invented
U-008,k(T),isotropic,,,W m⁻¹ K⁻¹,20–110 target domain,Prusament PLA,No compatible published lower and upper bounds located in the Stage 4 evidence set,Chapuis2025; PrusamentTDS2022,unresolved evidence gap,none,blocked,no bound invented
U-009,c_p(T),isotropic,,,J kg⁻¹ K⁻¹,20–110 target domain,Prusament PLA,No compatible published lower and upper bounds located in the Stage 4 evidence set,Chapuis2025; PrusamentTDS2022,unresolved evidence gap,none,blocked,no bound invented
U-010,E(T),instantaneous/equilibrium interpretation,,,MPa,20–110 target domain,Prusament PLA,No compatible published lower and upper bounds located in the Stage 4 evidence set,Chapuis2025; PrusamentTDS2022,unresolved evidence gap,none,blocked,no bound invented
U-011,ν(T),isotropic,,,1,20–110 target domain,Prusament PLA,No compatible published lower and upper bounds located in the Stage 4 evidence set,Chapuis2025; PrusamentTDS2022,unresolved evidence gap,none,blocked,no bound invented
U-012,α(T),isotropic,,,µm m⁻¹ K⁻¹,20–110 target domain,Prusament PLA,No compatible published lower and upper bounds located in the Stage 4 evidence set,Chapuis2025; PrusamentTDS2022,unresolved evidence gap,none,blocked,no bound invented
U-013,orthotropic elasticity,"E₁,E₂,E₃,G₁₂,G₂₃,G₁₃,ν₁₂,ν₂₃,ν₁₃",,,mixed,20–110 target domain,Prusament PLA,No compatible published lower and upper bounds located in the Stage 4 evidence set,Chapuis2025; PrusamentTDS2022,unresolved evidence gap,none,blocked,no bound invented
U-014,orthotropic expansion,"α₁,α₂,α₃",,,µm m⁻¹ K⁻¹,20–110 target domain,Prusament PLA,No compatible published lower and upper bounds located in the Stage 4 evidence set,Chapuis2025; PrusamentTDS2022,unresolved evidence gap,none,blocked,no bound invented
U-015,crystallization kinetics,grade-specific isothermal/non-isothermal coefficients,,,mixed,20–110 target domain,Prusament PLA,No compatible published lower and upper bounds located in the Stage 4 evidence set,Chapuis2025; PrusamentTDS2022,unresolved evidence gap,none,blocked,no bound invented
U-016,bulk irreversible annealing strain,"signed x,y,z law versus T and time",,,1,20–110 target domain,Prusament PLA,No compatible published lower and upper bounds located in the Stage 4 evidence set,Chapuis2025; PrusamentTDS2022,unresolved evidence gap,none,blocked,no bound invented
